Shop Name,Owner,location,Description,Review,Sales,Item Types,Reviews
INDIABEADSCrafts,SUMIT,India,"Micro Beads,Rosary Stone Chain, Pave Diamond Beads
                                ",5,772,"['On sale', 'Pave Diamond Jewelry', 'Pave Diamond/ Pendants', 'Chain Rosary Collection', 'Sterling Silver Jewelry', 'Faceted Beads', 'Briolette', 'Smooth', 'Loose Gemstone', 'Necklace', 'Diamond', 'Arrowhead', 'Meditation Japa Mala']","[['Toby', '5', 'So beautiful 😍'], ['Toby', '5', 'Absolutely Stunning!!! Shipping took awhile, but arrived safely packed and so beautiful!!'], ['Christin', '5', 'Beautifully made..I love it…Thank you'], ['waylon', '5', 'Ordered as a gift for my wife. It’s absolutely stunning, she loves it! Fast shipping as well.'], ['Ilka', '5', 'The stones are exactly like on the picture and how I imagined them. Thank you :)'], ['ALMA', '5', 'I am very happy to receive my beautiful bracelet , it has an excellent quality, the emeralds have an amazing color. The service was very good. I will definitively shop with Inidan beads again. Highly recomende'], ['Megan', '5', 'Exactly as described. Nice quality! It was a lovely present for my slightly fidgety daughter.'], ['zrysxtw', '5', 'Absolutely beautiful\nJust as I remember them  from years ago .'], ['kyle', '5', 'Took over a week to respond to two messages.'], ['Olena Holleis', '5', 'Real alexandrite stone, all right']]"
IndiaBlue,Heather,"Illinois, United States","Healing Energy Manifestation Crystals & Ritual Ware
                                ",4.9231,984,[],"[['Laura', '5', 'Bought the quartz necklace for my DIL as a gift, and she loves it! Shipping was prompt & necklace was packaged beautifully. Thank you for sharing your artistry and talents with us. Looking forward to purchasing (maybe for myself) in the future'], ['Alexzandra', '5', 'I ordered this as a sort of last minute gift for my sister and seller was quick to get it shipped so I had it in time. Loved the beautiful message and my sister was very happy to receive it. Would recommend and I plan to buy more for myself and others in the future!'], ['Azure', '4', 'The 22"" sq item is a great size and a nice print. I\'d describe the colours as soft though, not bright. This might end up being better than bright though, because I\'m using it as a crystal grid and the crystals will stand out more against the cloth grid.'], ['Lynn', '5', 'Wonderful grid cloths! Thank you'], ['atello', '5', 'Great packaging, necklaces are beautiful & just as described…the note with extra “surprise” was perfect & just what I  needed to hear today! Thank you'], ['Simone', '5', ""beautiful necklaces, all made with love.Even packaging is with love and also many small details.  Very very nice saleswoman. I'm already looking forward to the next purchase. :-)""], ['Simone', '5', ""beautiful necklaces, all made with love.Even packaging is with love and also many small details.  Very very nice saleswoman. I'm already looking forward to the next purchase. :-)""], ['Simone', '5', ""beautiful necklaces, all made with love.Even packaging is with love and also many small details.  Very very nice saleswoman. I'm already looking forward to the next purchase. :-)""], ['Simone', '5', ""beautiful necklaces, all made with love.Even packaging is with love and also many small details.  Very very nice saleswoman. I'm already looking forward to the next purchase. :-)""], ['Simone', '5', ""beautiful necklaces, all made with love.Even packaging is with love and also many small details.  Very very nice saleswoman. I'm already looking forward to the next purchase. :-)""]]"
IndiaBlueCreations,Bobbi Snell,"Missouri, United States","Real peacock feathers and handmade accessories
                                ",0,0,[],[]
IndiaBluPottery,India Blu,"Montana, United States","Hand Crafted Pottery for Cancer Awareness
                                ",0,0,[],[]
indiabutton,Yogendra Jain,"Jaipur, Rajasthan","naturalbuttons
                                ",4.6667,2941,"['Horn Button', 'Coconut Buttons', 'Polyester Buttons', 'Wood Buttons', 'Shell Buttons', 'Metal Buttons', 'Safety Pin and Accessory', 'Fast Delivery Wholesale']","[['Jas', '5', 'Thank you for the buttons!'], ['Diane', '5', 'Exactly what I was hoping for.'], ['Kimberly', '5', 'Very well made. I love these.'], ['Kimberly', '5', 'Simple, beautiful and very well made.'], ['Kimberly', '5', 'These are some of my favorite buttons!'], ['Kimberly', '5', 'Only great thoughts about these buttons!'], ['Johanna', '5', 'I love the quality of these buttons. I’m surprised at the affordable price given they are of such quality. I purchased these to use on a sweater but because of the durability and beauty of the buttons I’m also going to replace buttons on my winter coat. Thanks!'], ['Kimberly', '5', ""I gave only good things to say about this company's buttons Ann's service!""], ['Kimberly', '5', 'Amazing quality! They make every project a little more special! I love ordering from this company!'], ['Kimberly', '5', 'So beautiful! I will always buy my buttons from this company. Excellent customer service!']]"
IndiaByElla,Ella,United Kingdom,"Indian Treasures Handpicked by Ella in India
                                ",5,93,"['On sale', 'Paper Mache Masks', 'Paper Stars', 'Cushion Covers', 'Nandi Cows', 'Block Print Products', 'Copper Bells']","[['Debs teale', '5', 'Lovely quality papier-mâché masks excellent and quick delivery they look fabulous on my wall absolutely love em!!'], ['Joanna Green', '5', 'Really lovely. Great quality and character. He looks wonderful hung on our landing and makes me smile when I pass him.'], ['laura', '5', 'Love this mask. Looks great in my son’s room. Great quality, price and fast delivery. Thank you.'], ['charlotte', '5', 'fantastic item. well pleased with it .\nmy mum loved it .....'], ['Sophie', '5', 'Lovely item, given as a gift but would love to order another for myself! Arrived quickly, Thank You!'], ['Kathleen', '5', 'Bought as the perfect gift for a friend who loves all things India, woodblock design and cosying up in the evenings. Pretty sure this will tick all boxes! Beautiful designs, well packaged and lovely quality. Thank you, and Merry Christmas!'], ['Sandra Candlish', '5', 'I just love these stamps just what I was looking for. Looking forward to purchasing more when available. Great quality and price fast delivery.'], ['Rosie', '5', 'Beautifully well made, light to very breathable, and when ever I wear its always get compliments!'], ['anne williamson', '5', 'Beautiful copper bells. Lovely sound, good weight. Would definitely buy again. Thank you.'], ['Hardeep', '5', 'Great product but importantly great support, care and communication throughout the process from Ella. Highly recommend this product and business. Thanks again Ella']]"
IndiaByRakeshandMalo,Rakesh and Malo,"Paris 03 Temple, France","Indian handicraft - artisanat indien
                                ",0,0,[],[]
IndiaCarnesArt,India Rodriguez,"Colorado, United States","Visual Artist specializing in Stylized Realism.
                                ",0,0,[],[]
INDIACARPET,Roop Singh Chauhan,"Jaipur, Rajasthan","Welcome to Our Store,We provide Designer handmade rugs.
                                ",4.4286,137,"['ROUND RUGS', 'lARGE RUGS', 'MEDIUM RUGS', 'RUNNER']","[['Christopher', '5', 'Second time ordering from this store. Great quality and service.'], ['Christopher', '5', 'Great rug and fast shipping! Would definitely order again.'], ['Jean', '5', 'My curtains were beautiful !'], ['steve', '5', ""This is my 2nd large 9x12 rug from India from the same vendor.  He calls to confirm that you have received it in good order and that you are happy with your purchase.  Can't say enough about the great service and quality of these rugs.. very impressive!""], ['jenny55ariadna', '5', 'Good quality, beautiful cover for my daughter’s apartment'], ['steve', '5', ""Namaste everyone. \nI just ordered a 9x12 rug which arrived from India in less than a week, incredible! \nIt's one of the most beautiful rugs I've seen.  India Carpets called me to check on it as soon as it arrived.\nI was so impressed I just ordered a 2nd 9x12 in a similar family of colors.  If they don't have what you want they will custom make it.""], ['Justine', '5', 'I absolutely love this pillow case! It was exactly what I was looking for!'], ['Sara', '5', 'Very pleased with the quality and feel of the cotton. Very good purchase.'], ['Genevieve Granados', '5', 'This is Duvet Cover is absolutely what I was looking for.  The cotton feels organic, there is not one bit of chemical smell.  So beautiful and fresh in my guest bedroom, although I almost want to switch it into my bedroom :-)  \nI also want to the seller for the Beautiful Gift, a scarf, what a wonderful surprise.  I will definitely go back and find what else is sold through INDIA CARPET for my future home & decor needs.'], ['Amy', '5', 'Very fast shipping. Well constructed and exactly what I was hoping for!']]"
indiacartshop,Deepak,"Haryana, India","Instant Download Print
                                ",0,0,[],[]
INDIACELI,Araceli Avila,N/A,"Handmade wire wrapped crystal/stone jewelry.
                                ",0,0,[],[]
IndiaChikan,Jasveer Kaur,"Lucknow, Uttar Pradesh","A shop for Hand Embroidered Clothes for Women
                                ",5,441,"['Cotton Tops', 'Georgette Top', 'Bottoms', 'Accessories', 'Stole & Dupatta', 'Skirt', 'SALE: WALL HANGINGS']","[['Maddie', '5', 'Absolutely gorgeous.! It is more beautiful in real.'], ['Parminser Sandhu', '5', 'I just got my order , I really liked it ,\nI will definitely will order more stuff from you, shipping handling Zero cost,\nReally make people to repeat shopping,\nS'], ['Sonia', '5', 'Love love the duppataa... waiting to wear it n ordering more stuff from u soon .thanks a lot'], ['carolinejanem22', '5', 'all pieces i bought are beautiful and just right size !\r\n\r\nthey were easy to work with and the pieces are even prettier than i expected...\r\ni especially love the dress and pants !!!'], ['alina', '5', 'Really pretty. Shipping extremely fast. Thanks'], ['hema', '5', 'Beautiful Kurti; color as in the picture; good quality and fast shipping.'], ['audiojewel', '5', 'Item arrived as described and is even more beautiful in person, fast shipping, great communication with seller, thank you very much!'], ['audiojewel', '5', 'Item arrived as described, fast shipping, great communication with seller, thank you very much!'], ['romina', '5', 'Absolutely Fantastic...Skirt fits me perfectely, they have been so kind to reduce it for me!!Great job, great professionality...Arrived super fast! Thanks a lot!!'], ['Akutjera', '5', 'This top is gorgeous with the most beautiful embroidery. I am a standard size 8 and it fits perfectly.Excellent friendly communications and very reasonable postage time. I would definitely buy from this seller again. Many , many thanks !']]"
Indiacon,conchi aguilera,"Madrid, Spain","A shop for Hand Embroidered Clothes for Women
                                ",5,0,[],[]
Indiacottage,Ritika Matthew,N/A,"all things handmade
                                ",0,0,[],[]
IndiaCottageCrafts,Sushant,"Agra, Uttar Pradesh","Mfrs. of fine HAND MADE CARPETS & RUGS since 1976
                                ",0,0,[],[]
INDIACRAFTARTstore,Bhavna Parasrampuria,"Ahmedabad, Gujarat","Indian Handicrafts Made With Love.
                                ",0,0,[],[]
indiacraftcreation,ABHI,"Jodhpur, Rajasthan","Fine Jewelry an other Hand Crafted Items
                                ",0,0,[],[]
IndiaCraftFactory,richav,N/A,"Kid focused crafts to promote cultural awareness
                                ",5,28,[],"[['Prerana', '5', 'Really awesome 30 day countdown to Diwali! Day 1 starts w/the first day of Navratri so it really helps to keep the excitement and momentum going for the festive season. Each day has an activity or story for the kids to complete. It is a downloadable item, so you will have to put in a bit of effort to cut everything and decorate your display with your own creativity :)']]"
Indiacrafthardware,mohd usama,"Nagīna, Uttar Pradesh","Largest wooden handicrafts &  nautical home décor items
                                ",0,0,[],[]
Indiacraftsbazaar,India Crafts Bazaar,"Billinge, United Kingdom","Handmade home decor products from India
                                ",4.9333,79,['home decor'],"[['Mrs Alison Paterson', '5', 'absolutely stunning  just wish did bigger sizes too thankyou 😊'], ['Peachy Asians', '4', 'Good quality, arrived on time. Earring was a bit smaller than I expected'], ['MT', '5', 'I really like this item, that you for fast delivery'], ['Rezwana', '5', 'beautiful jewelry! lovely colours'], ['Barbara', '5', 'This cushion cover is really beautiful and so well made.  Royal Mail took 2.5 weeks to deliver on first class parcel but was worth the wait.'], ['Mital', '5', 'Good buy. Prompt customer service. loved the product to gift someone on occasions. Recommended.'], ['nazia', '5', 'Very Happy with my purchase'], ['Kalpita', '5', 'These were just as beautiful in real as in the pictures! I have ordered artificial flower strings from other online retailers before and the flowers usually come all compressed due to being packed in a box for long time and no matter how we “fluff” it up they don’t look as good.....but these were absolutely brilliant..looked so real! Will definitely be buying again!'], ['Kalpita', '5', 'Absolutely gorgeous! So well packaged and promptly delivered. We put it up on our house door entrance for Diwali! 😀'], ['Meena', '5', 'very good love it thanks']]"
Indiacraftshopus,Tiffany,United States,"Lovingly Handmade Jewellery Gift
                                ",4.7936,4726,"['On sale', 'Natural Crystal Cluster', 'Healing Tower', 'Natural Stone Necklace', 'Perfume Bottle Necklace', 'Gemstone Bracelet', '100% Gemstone Earrings', 'Genuine Stone Ring', 'Gemstone Bangle', 'Charm Necklace', 'Hanging Decor']","[['Rebekah', '4', 'Beautiful, simple piece that is even more perfect in person! I gave a 4 star review because I have just received it so I can’t speak to the longevity. I look forward to wearing it often and hopefully for a long time!'], ['Waifu', '5', 'Exactly like the photo ♡ 🌙'], ['Caitlin ', '5', 'The necklaces were beautiful and the seller was super quick to respond and helpful when I had questions! \n\nMy only thing is one of the necklaces is a bit loose where the pendant nail is drilled in, but I don’t think it’ll be much of an issue! Would recommend these!'], ['Svetlana', '4', 'Nice'], ['Stephy', '5', 'This was beautiful. Looked very nice and as pictured a bit smaller than I expected but still fine-- I have added to my collection. The shipping too a bit longer than normal but the item came in tacked and packaged well. Seller was really nice and helpful with questions!'], ['Sophia', '5', 'I love it! It came fast and looks exactly like the picture.'], ['Andrea', '5', 'Thank you for selecting such a pretty crystal for me! Love it <3'], ['Jeremy', '5', 'Nice little  piece, fast shipping too. Recommend  seller'], ['Dianne', '5', 'Gave this as a gift for a 20th birthday.\nShe loved it.'], ['Rachel', '5', 'The item was as described and very lovely.']]"
IndiacraftStudio,Arihant Jain,"Delhi, India","100% Handcrafted by ethnic artists from India
                                ",0,0,[],[]
IndiaDarlingCandles,Kerry Tiffin,"Bishop's Stortford, United Kingdom","Joyful Vegan Candle Company
                                ",0,0,[],[]
Indiadecoration,Tarun,N/A,"Indian Event Wedding Henna Decorations Indian Tapestry
                                ",0,0,[],[]
IndiadecorsCreations,Debabandya Mohanty,India,"Exclusive Handcrafted Home-decor
                                ",5,13,"['On sale', 'Wall Decor', 'Table decor', 'Wall Plate Sets', 'Keepsake box', 'Accessories', 'Cushion Covers', 'Trays', 'Table Runners']","[['Alakananda', '5', 'Such a beautiful piece of art! Quality is great and came with good packaging. Received many compliments. Will definitely try other products.'], ['Maheswary', '5', '“Loved the Christmas ornaments from India Decor. It was packaged nicely, delivered in time and my kids liked it.”'], ['Ananta Mohanty', '5', 'Item was exactly as shown on the website and of great quality. Simply love it. Full marks to the packaging which ensured the fragile item was delivered intact. Great job team Indiadecor.'], ['Prema', '5', 'N/A']]"
IndiadeLanda,India,N/A,"Contemporary Plexiglass Statement Jewelry
                                ",5,209,[],"[['Gillian', '5', 'These are fabulous! Love the chartreuse.  It reminds of a Swatch I owned in the 80s. When I saw these, I had to.buy them.'], ['Gillian', '5', 'Absolutely gorgeous.  The picture barely does them justice.  That red!!'], ['Heather', '5', ""Awesome!  I can't wait to wear my new brooch.  It looks exactly like the pictures, is solidly constructed, and was shipped very promptly.  I couldn't be happier!""], ['elizabeth', '5', 'Very fast delivery as always. Superb packaging as always. Thank you so much. The bracelet is gorgeous as I knew it would be. This makes 3 of them for me !!!  Wonderful, fantastic seller.'], ['Frances', '5', ""This brooch is simply spectacular! The artist has a keen eye for design and the finished product exceeded my expectations. It perfectly matches an outfit of mine and I couldn't be more thrilled. IThe brooch arrived in a record three days after ordering.""], ['Gilda', '5', 'I highly recommend purchasing anything from this store. I have many pieces! Necklaces and earrings!! So colorful and light to wear. Just makes you smile!'], ['PantheraTigris', '5', 'Looks exactly as pictured in the listing. The pin back is perfectly hidden when it is being worn. I love the bold, graphic design. I have a really hard time finding jewelry that fits my aesthetic, and this maker just consistently nails it. Great stuff!'], ['PantheraTigris', '5', ""Solidly constructed, with interesting materials and colors that I feel can be dressed up or down as needed, so it's a versatile piece. I love the mix of acrylic and metal and pieces with different levels of transparency. Really happy with it.""], ['PantheraTigris', '5', ""Beautiful, eye-catching, unique design. I've gotten so many comments on it already and I've only worn it out a couple times. The quality is great too; I feel like I've seen many acrylic or resin pieces held together with glue or epoxy, but this has a mechanical fastener that is part of the design. It feels much more secure and looks much more professional. Looks exactly as pictured in the listing. Great experience all around!""], ['Poorva', '5', 'This cuff looks and feels amazing!!! Many compliments.']]"
IndiaDenali,Lisa Chitwood,N/A,"India Denali Designs Hand Painted Silk
                                ",0,0,[],[]
iNDIAdESIGNSstudio,Pradeep,"New Delhi, Delhi","With Love, Exclusive Products from the Land of India :D
                                ",0,0,[],[]
IndiaEclectic,Kali Rawat,"Mumbai, Maharashtra","IndiaEclectic- exquisite vintage and handmade items
                                ",0,0,[],[]
iNDiAEiMi,India Frock,"Colorado, United States","India Frock silversmith
                                ",0,0,[],[]
IndiaElizabeth,IndiaElizabeth,"Ohio, United States","From Me To You ~ India Elizabeth
                                ",0,0,[],[]
IndiaEmeralds,Emerald,"Florida, United States","IndiaEmeralds
                                ",0,0,[],[]
IndiaEmilyMakes,India E.,N/A,"Handmade items of all types! 
                                ",4.8,98,"['Necklaces', 'Coaster', 'Knitted', 'Vintage', 'Knitwear', 'Trinket Dish', 'Ceramics']","[['Tiff', '5', 'This tea cup is one of the most unique items I’ve ever treated myself too. It’s perfect in every way. There are honestly not enough words to describe how much I appreciate it. It’s already being used daily.'], ['linda', '5', 'excellent product. arrived on time. thankyou.'], ['Mon ica', '5', 'Gorgeous handmade mug :) thank you'], ['A', '5', ""Great items. They are a Xmas gift, I'm sure they will be delighted.""], ['silverballs69', '5', 'Perfect little witch’s hat, great find, great colour! Fast delivery, great customer service! Thank you 🧙\u200d♀️'], ['Melitta', '5', 'Great little bowl, I really like it.'], ['Rebecca', '5', 'Beautiful item ❤️'], ['Jay', '5', 'Thank you fridge magnet arrived it’s beautiful'], ['Juliet', '5', 'Love this, thanks! 😍'], ['Velma', '5', 'Love this cute pot so much! Thank you 💗']]"
IndiaEthnicArt,Arun,"Gurgaon, Haryana","Bohemian and Handmade items with Indian Ethnic designs
                                ",0,0,[],[]
IndiafashionartsIN,Rohit,"Jaipur, Rajasthan","Handcrafted Silver & Imitation Indian Jewellery
                                ",4.6783,3915,"['On sale', 'Silver Pendants', 'Earrings', 'Anklets', 'Necklaces', 'Pendants', 'Maang Tikka', 'Bracelets', 'Rings', 'Silver Earrings', 'Best selling']","[['Nadiyah', '5', 'Quality product especially for the price!'], ['Susan lidster', '5', 'These ear rings were exactly as displayed on site . Well made and ornate.  They are large but very  light in ear which is great for wearing  on evenings out .\nDelivery took a few weeks but I’m happy with the purchase and would  buy from this seller again 👍'], ['Dane', '5', 'truly divine 🌬♾'], ['Aliya', '5', 'These are the most adorable little jhumkas. The quality feels great and they look even better in person! The earrings were shipped very well and arrived in perfect condition.'], ['Fizzah', '5', 'they are the cutest little earrings I’ve ever seen!!!!'], ['Vivi', '5', 'Absolutely love them, perfect size and fast delivery :)'], ['Tatyana', '5', 'Perfect size. Noticeable but still somewhat discreet. And pretty!'], ['Nicy', '5', 'Met my expectation and its worth for the price'], ['Nadiyah', '5', 'Absolutely love these jhumka earrings, cute but affordable!'], ['Meena', '5', 'Beautiful and exactly like pictures!!']]"
IndiaFashionJewelry,Alok Kumar Pandey,N/A,"Handmade Jewelry Creation By Jewelrypalace925
                                ",4.6725,1804,"['On sale', 'Mens Ring', 'Stud Earrings', 'Pendants', 'Necklaces', 'Bangles', 'Earrings', 'Rings', 'Necklace Earrings Set', 'Bracelets', 'Cross Pendants', 'Bronze / Brass Jewelry', 'Tibetan Earrings & Rings', 'Gold Plated Bangle', 'Gold Plated Earrings', '925 Silver Cufflink', 'Brass Earrings']","[['Kathy', '5', 'Beautiful piece. Always get compliments on it. Great piece at a great price!'], ['Heather', '5', 'Great quality and arrived sooner than expected! Very satisfied'], ['Cathy', '5', 'I loved all the earrings they are very good earrings well made.'], ['Sian', '5', 'Beautiful bangle I love it. And it arrived much sooner than I expected'], ['Sian', '5', 'Gorgeous bangle and it arrived much sooner than I expected'], ['Cathy', '5', 'very nice love my jewelry.'], ['celestikozub1', '5', 'Beautiful necklace, thank you so much'], ['celestikozub1', '5', 'Very lovely, thank you so much'], ['Brenda', '5', ""I actually received this beautiful pendant about 2wks before I'm allowed to leave feedback! What a lovely piece! Thanks so much & God be with y'all!""], ['Thomas', '5', 'Unbeatable price. The bracelet goes with everything and fits comfortably. I wear it daily. Thank you very much!']]"
IndiaFashionX,India Fashion X,"Colorado, United States","A one-stop boutique where quality inspires imagination
                                ",0,0,[],[]
IndiaFisher,India,"New Hampshire, United States","Handmade cards by a college student in NH, from NYC
                                ",5,83,[],"[['Sophia', '5', 'came in PERFECT condition and are even prettier in person'], ['Pamela', '5', ""This is the 2nd time I've ordered these beautiful cards!!  They are beautifully made and they arrived exactly as promised!!""], ['Pamela', '5', ""I LOVE my poster!!  The calligraphy is beautiful and the graphic design is joyful!!  It shipped exactly as promised and I'm looking forward to ordering more items from this shop!!""], ['Tallulah', '5', 'Beautiful poster, amazing seller, and shipped super fast!  Paper is high quality and looks printed. Highly recommend!'], ['Susan', '5', 'Beautiful cards and excellent service. I’ll order again soon.'], ['Amy', '5', ""I love these cards!! The lettering and coloring is so well done, and they are on a nice weight of paper, so ink won't seep through.\n\nThey were also packed nicely, so arrived in pristine condition.""], ['amymkrause', '5', ""can't wait to send these out!!!""], ['amymkrause', '5', 'so much nicer than what you can buy in the store!'], ['amymkrause', '5', 'will be ordering more of these!'], ['amymkrause', '5', 'fast shipping and well packed!  love!']]"
IndiaFlanagan,India,N/A,"Beautiful Jewelry and Beads!
                                ",0,0,[],[]
IndiaGems2018,Aijajuddin,India,"Exclusive Gems & Jewellry
by SHAMEEM ENTERPRISES
                                ",4.2857,157,[],"[['Maria', '5', '💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜\nSuch a gorgeous ring !\nSeller is bery professional, looks after shipping updates \n👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾\nSo happy with my ring 💜💜💜💜💜💜💜'], ['Stephanie', '4', 'Lovely ring - I expected the topaz to be a deeper blue as per the photos though'], ['GLORIA', '5', 'Earrings created for me, absolutely divine.'], ['Cara', '5', 'Exactly as described!! Absolutely beautiful and great craftsmanship. Thank you!!'], ['Estelle', '5', 'Great seller,  responded quickly and nicely. \n\nThe item is exactly as the picture showed,  definitely a piece to keep.  \n\nWill buy from this store again, no doubt. One of the best purchasing experience plus i saw many cute items.'], ['Kathryn', '5', ""This ring was worth the wait!  It had a long way to travel to me after it was custom-made. The stone is large and beautiful, but I think the setting is my favorite thing about this ring, I can't stop admiring it.  I am so happy with it!  The craftsman was very helpful and responsive, with timely replies to questions.""], ['Vlada', '5', 'My dream Aquamarine Ring come true. Thank you so much! The Best!'], ['GLORIA', '5', 'Good packaging. Fast delivery. Wonderful ring ....finely worked ....I will buy other items \non this shop.'], ['Izabella', '5', ""blown away by the beauty,  couldn't have asked for more. its ever so delicate and totally stunning. the blue is out of this world! thank you x""], ['Gumme1', '5', 'Very pretty custom ordered piece.']]"
INDIAGEMSJEWELSTORE,sterlingrings silver,"Jaipur, Rajasthan","Handmade Rings, Rough stone ,Beads Wholesales Jewelry
                                ",4.6667,202,"['On sale', 'Rings', 'BEADS', 'CARVING', 'LOOSE STONE', 'Raw Stone', 'Bracelet', 'Moldavite']","[['Louise', '5', 'Attractive collection of items arrived safely in Australia thank you.'], ['Emballistic', '5', 'Cute as can be, just as pictured!'], ['Emballistic', '5', 'Cute as heck, exactly as pictured.'], ['Atlas', '5', 'Excellent thank you so much'], ['ella0708', '5', 'Beautiful tourmaline, have ordered more'], ['Cristobal', '5', 'Good quality, item as described and in perfect conditions.'], ['Sign in with Apple user', '5', 'Amazed by the quality of thr stones and the services offered. They were able to provide me not only the stones I needed but they customized them according to my wishes. Great customer service with quick and gently replies. Looking forward to further collaborate with them!!!'], ['Sign in with Apple user', '5', 'Amazed by the quality of thr stones and the services offered. They were able to provide me not only the stones I needed but they customized them according to my wishes. Great customer service with quick and gently replies. Looking forward to further collaborate with them!!!'], ['Sign in with Apple user', '5', 'Amazed by the quality of thr stones and the services offered. They were able to provide me not only the stones I needed but they customized them according to my wishes. Great customer service with quick and gently replies. Looking forward to further collaborate with them!!!'], ['Sign in with Apple user', '5', 'Amazed by the quality of thr stones and the services offered. They were able to provide me not only the stones I needed but they customized them according to my wishes. Great customer service with quick and gently replies. Looking forward to further collaborate with them!!!']]"
IndiagemstoneArt,null null,N/A,"IndiagemstoneArt
                                ",0,0,[],[]
Indiagifthub,Shikha,India,"Bringing Handmade Gifts from India
                                ",4.3849,2439,"['On sale', 'Flat Bedsheets', 'Wedding & Party Favor', 'Tea Light Holders', 'Handbags/ Purses/Wallets', 'Potli Bags', 'Home Decor', 'Feng Shui Items', 'Home Furnishing', 'Diyas', 'Clothing Accessories', 'Planters', 'Masks', 'Fashion Earrings', 'Jewelry', 'Dupatta', 'Rakhi Collection', 'Quilts']","[['Tammy', '5', 'The holders are beautiful and sturdy.  Will look great on the wedding tables.  Thank you for sending so quickly.'], ['Joel Kanagaraj', '5', 'nice, everyone liked it. thank you'], ['Parteep', '4', 'Arrived before the expected date..'], ['heena', '4', 'I love the Dia'], ['Bhavika', '5', 'Great quality and fast delivery.'], ['Bhavika', '5', 'Good quality cushion covers. Fast delivery.'], ['Sushma', '5', 'Excellent quality product 👍🏻\nWith beautiful colours 👌🏻'], ['heenasomani786', '5', 'The pillows are exactly as expected and came quickly! Be sure to measure them since I anticipated they would be larger. Regardless, a good purchase!'], ['Devika', '5', 'Amazing and beautiful cushion covers! It was a gift and they loved it!'], ['Raj', '5', 'The Quality of this is amazing I love them so much']]"
Indiagizelle,Gizelle soto,"Massachusetts, United States","PrettyinPinkMeetsTheCraft
                                ",0,0,[],[]
Indiagoodiestore,Indiagoodie Store,N/A,"Indiagoodiestore
                                ",4.5865,730,[],"[['Afia', '5', 'Fast, fast shipping and I’m not sure but…This order seemed to have more than the last…even though they were both supposedly the same weight. \n\nPopped in oven for 30mins on high broil and super crunchy!\n\nThank you'], ['Kristina', '5', 'Excellent, I will be buying more!'], ['Jesssassy', '5', 'This is always my favorite crunchy till the end earthy fresh this will be my 4th order. I have not been disappointed.'], ['Kristina', '5', ""This is the best Nakumatt I've ever had.  Thank you! Eagerly awaiting my next batch.""], ['Linda', '4', 'Am all time fav of mine crunchy tasty so moorish just love this Thanks'], ['Afia', '5', 'Delicious as always!!!!\n\nBake so it’s gets dehydrated for 30mins or so. Delicious'], ['Jasmine', '5', 'it should be aired out for atleast a week, or taste will not be good. \nsuper fast delivery.\nwill buy again for sure'], ['Bunmy', '3', ""My shipment came very fast for over seas to US . My slate pencil was mostly broken and my magmitti clay was sooo bitter and also Matepulgite it was sooo bitter it look like they have mix in black hall cause black hall is bitter and i hate black hall clay. That's suck i got 1 kg each and now i can't even eat it. Some one please tell me how to get rid of the bitterness""], ['Afia', '1', 'Not sure what was going on w the seller but there my were not as on top of things as they usually are.\n\nMy order was only shipped after I asked for them to cancel it. They were just sitting on it.'], ['Melanie', '4', 'N/A']]"
IndiaGraceArt,Megha Jain,N/A,"India Grace Art
                                ",0,0,[],[]
IndiaGraceBridal,Tamlin Griffiths,N/A,"Luxury bridal and Hair accessories
                                ",5,68,"['Headbands', 'Clips / Pins', 'Bridal Headbands', 'Earrings', 'Tiara / Headpiece', 'Combs']","[['Tilly', '5', 'Wow! These hair clips are absolutely beautiful! I’m so excited to see them on my bridesmaids. The quality is sooo much better than I ever expected. They come in a pretty little bag too so they are going to look even better in a bridesmaids gift box. Thank you so much! X'], ['Bethan', '5', 'Haven’t tried these out yet - ordered in time for my wedding hair trial. However, they look beautiful! The packaging was amazing too! Felt really luxurious! Would love to see more items on the shop :)'], ['AnnaL', '5', 'Thank you! Beautiful headband.'], ['Grace', '5', 'This item came so fast, was packaged goegeously and was so beautiful. I absolutely loved wearing it!'], ['Sian-Louise', '5', 'Absolutely perfect! I cannot wait to wear my hairband at my wedding! Tamlin is also lovely and always goes above! Thank you! X'], ['elainerush75', '5', 'The jacket is amazing....I love it. \nThanks so much. \nAmazing customer service. \nAll my questions answered promptly.\nHighly recommend this seller'], ['cmuscatellixo', '5', 'Such a lovely seller great communication and fast replies x'], ['Larissa', '5', 'I bought the lyra star hair pins and they are perfect! So beautiful and just as advertised. Customer service was also excellent! Tamlin was very helpful and kind. No negatives. I recommend.'], ['Sian-Louise', '5', 'Gorgeous earrings, can’t wait to wear them on my wedding day! Lovely seller! Thank you so much! X'], ['Beth', '5', 'N/A']]"
